,SampleID,PlotName,Site,TrapName,Species,BiomassSum,Year,N,N_dec,P,P_dec,K,Mg,Ca,C,C_dec,Qty_C,Qty_N,Qty_P,Molar_C,Molar_N,Molar_P,CNRatio,CPRatio,NPRatio
11,DP_C2_ABBA ,Dunphys Pond+C2,DP,C2,ABBA,1093.942874,2016,0.73,0.0073,0.075,0.00075,0.34,0.1,0.63,52.2,0.522,1.423502879,0.019907224,0.002045263,0.11851956,0.001421264,6.60E-05,83.39022591,1794.877763,21.5238386
12,DP_C4_ABBA,Dunphys Pond+C4,DP,C4,ABBA,661.9357186,2016,1.04,0.0104,0.085,0.00085,0.75,0.08,0.29,51.36,0.5136,0.847488932,0.017160991,0.001402581,0.070561161,0.001225199,4.53E-05,57.59160518,1558.230594,27.05655779
13,DP_C6_ABBA,Dunphys Pond+C6,DP,C6,ABBA,33.21497236,2016,0.91,0.0091,0.052,0.00052,0.49,0.1,0.72,52.6,0.526,0.043552475,0.000753474,4.31E-05,0.00362614,5.38E-05,1.39E-06,67.40806481,2608.603292,38.69868242
14,DP_E1_ABBA,Dunphys Pond+E1,DP,E1,ABBA,2.780679035,2016,0.73,0.0073,0.085,0.00085,0.39,0.09,0.64,52.66,0.5266,0.003650269,5.06E-05,5.89E-06,0.000303918,3.61E-06,1.90E-07,84.1250823,1597.671789,18.9916223
15,DP_F1_ABBA,Dunphys Pond+F1,DP,F1,ABBA,298.7418073,2016,0.72,0.0072,0.072,0.00072,0.53,0.07,0.45,51.93,0.5193,0.386729703,0.005361937,0.000536194,0.032198765,0.000382812,1.73E-05,84.11110406,1859.993659,22.11353281
16,DP_F11_ABBA,Dunphys Pond+F11,DP,F11,ABBA,31.27397106,2016,0.85,0.0085,0.06,0.0006,0.48,0.14,0.34,52.6,0.526,0.041007376,0.000662667,4.68E-05,0.003414237,4.73E-05,1.51E-06,72.16628114,2260.78952,31.32750481
17,DP_F13_ABBA,Dunphys Pond+F13,DP,F13,ABBA,87.60692795,2016,0.75,0.0075,0.069,0.00069,0.58,0.09,0.48,52.59,0.5259,0.114851012,0.001637921,0.000150689,0.009562391,0.000116938,4.87E-06,81.77290283,1965.530184,24.03644871
18,DP_F3_ABBA ,Dunphys Pond+F3,DP,F3,ABBA,653.5057158,2016,0.76,0.0076,0.042,0.00042,0.37,0.09,0.72,52.62,0.5262,0.857222255,0.012381013,0.000684214,0.071371548,0.000883935,2.21E-05,80.7429772,3230.927337,40.01496413
19,DP_F5_ABBA ,Dunphys Pond+F5,DP,F5,ABBA,62.20501584,2016,0.77,0.0077,0.044,0.00044,0.41,0.08,0.65,52.33,0.5233,0.081146416,0.001194014,6.82E-05,0.006756177,8.52E-05,2.20E-06,79.25515452,3067.070055,38.69868242
20,DP_F7_ABBA ,Dunphys Pond+F7,DP,F7,ABBA,25.63866989,2016,0.77,0.0077,0.04,0.0004,0.45,0.06,0.65,52.32,0.5232,0.033439242,0.00049213,2.56E-05,0.002784121,3.51E-05,8.25E-07,79.24000926,3373.132348,42.56855066
21,DP_I10_ABBA ,Dunphys Pond+I10,DP,I10,ABBA,61.29821046,2016,1,0.01,0.059,0.00059,0.48,0.09,0.56,52.51,0.5251,0.08023854,0.001528062,9.02E-05,0.006680588,0.000109095,2.91E-06,61.23638231,2295.174151,37.48056408
22,DP_I12_ABBA ,Dunphys Pond+I12,DP,I12,ABBA,1.43812793,2016,0.8,0.008,0.061,0.00061,0.42,0.12,0.46,52.14,0.5214,0.001869226,2.87E-05,2.19E-06,0.00015563,2.05E-06,7.06E-08,76.00611725,2204.280351,29.0013545
23,DP_I14_ABBA ,Dunphys Pond+I14,DP,I14,ABBA,387.9510531,2016,0.74,0.0074,0.063,0.00063,0.52,0.1,0.44,52.62,0.5262,0.508886562,0.007156519,0.000609271,0.042369434,0.000510935,1.97E-05,82.92521983,2153.951558,25.97462584
24,DP_I2_ABBA,Dunphys Pond+I2,DP,I2,ABBA,7210.066352,2016,0.99,0.0099,0.068,0.00068,0.47,0.11,0.64,52.96,0.5296,9.51876141,0.177937572,0.012221975,0.792523451,0.012703747,0.000394591,62.38501579,2008.467004,32.19470218
25,DP_I4_ABBA,Dunphys Pond+I4,DP,I4,ABBA,184.0690935,2016,0.81,0.0081,0.086,0.00086,0.48,0.09,0.43,52.41,0.5241,0.240485135,0.003716714,0.000394614,0.020022574,0.000265353,1.27E-05,75.45649851,1571.59756,20.8278623
26,DP_I6_ABBA,Dunphys Pond+I6,DP,I6,ABBA,281.0045339,2016,1.04,0.0104,0.08,0.0008,0.57,0.08,0.5,52.4,0.524,0.36706064,0.007285173,0.000560398,0.030561136,0.000520121,1.81E-05,58.75779033,1689.145022,28.74759265
27,DP_I8_ABBA,Dunphys Pond+I8,DP,I8,ABBA,3.943366073,2016,1.22,0.0122,0.14,0.0014,0.72,0.13,0.59,52.5,0.525,0.005160831,0.000119928,1.38E-05,0.000429686,8.56E-06,4.44E-07,50.1841971,967.0677604,19.27036431
28,DP_K1_ABBA,Dunphys Pond+K1,DP,K1,ABBA,822.0127915,2016,0.83,0.0083,0.058,0.00058,0.36,0.1,0.44,52.84,0.5284,1.082765946,0.017007868,0.001188502,0.090150112,0.001214267,3.84E-05,74.24243784,2349.418872,31.64522799
29,DP_L10_ABBA,Dunphys Pond+L10,DP,L10,ABBA,12.13983351,2016,0.82,0.0082,0.155,0.00155,0.47,0.11,0.69,52,0.52,0.015736541,0.000248153,4.69E-05,0.00131021,1.77E-05,1.51E-06,73.95320473,865.1616953,11.6987722
30,DP_L12_ABBA,Dunphys Pond+L12,DP,L12,ABBA,68.85488012,2016,0.85,0.0085,0.14,0.0014,0.67,0.08,0.56,52.31,0.5231,0.089786832,0.001458972,0.000240301,0.00747557,0.000104162,7.76E-06,71.76840621,963.5678961,13.42607349
31,DP_L14_ABBA,Dunphys Pond+L14,DP,L14,ABBA,24.18892744,2016,0.84,0.0084,0.128,0.00128,0.58,0.11,0.64,52.22,0.5222,0.031488116,0.000506511,7.72E-05,0.002621672,3.62E-05,2.49E-06,72.49784359,1052.089134,14.51200591
32,DP_L2_ABBA,Dunphys Pond+L2,DP,L2,ABBA,3874.184359,2016,0.93,0.0093,0.07,0.0007,0.48,0.11,0.43,52.4,0.524,5.060632192,0.089816564,0.006760387,0.421343651,0.0064124,0.000218262,65.7076365,1930.451453,29.37940788
33,DP_L4_ABBA,Dunphys Pond+L4,DP,L4,ABBA,1880.020095,2016,0.84,0.0084,0.068,0.00068,0.44,0.11,0.62,52.13,0.5213,2.443112242,0.039367241,0.003186872,0.203411312,0.002810601,0.000102889,72.37289518,1976.989896,27.316717
34,DP_L6_ABBA ,Dunphys Pond+L6,DP,L6,ABBA,268.1465436,2016,0.89,0.0089,0.095,0.00095,0.45,0.11,0.69,52.55,0.5255,0.351267627,0.005949157,0.000635022,0.029246224,0.000424737,2.05E-05,68.85733676,1426.509777,20.71688863
35,DP_L8_ABBA ,Dunphys Pond+L8,DP,L8,ABBA,1892.090927,2016,0.9,0.009,0.082,0.00082,0.4,0.09,0.79,52.28,0.5228,2.465873456,0.042450002,0.003867667,0.20530639,0.003030693,0.000124869,67.74239969,1644.172439,24.27095064
36,DP_N1_ABBA,Dunphys Pond+N1,DP,N1,ABBA,447.5483445,2016,0.99,0.0099,0.139,0.00139,0.74,0.1,0.47,52.13,0.5213,0.581595293,0.011045067,0.001550772,0.048423097,0.000788556,5.01E-05,61.407305,967.1605247,15.74992625
37,DP_N11_ABBA,Dunphys Pond+N11,DP,N11,ABBA,331.5013636,2016,0.86,0.0086,0.127,0.00127,0.58,0.11,0.5,51.92,0.5192,0.429055236,0.007106847,0.0010495,0.03572275,0.000507389,3.39E-05,70.40503845,1054.281535,14.97451828
38,DP_N13_ABBA,Dunphys Pond+N13,DP,N13,ABBA,57.63167412,2016,0.76,0.0076,0.15,0.0015,0.53,0.11,0.54,52.26,0.5226,0.075079927,0.001091863,0.000215499,0.006251087,7.80E-05,6.96E-06,80.19057371,898.4704206,11.20418996
39,DP_N3_ABBA,Dunphys Pond+N3,DP,N3,ABBA,3524.363782,2016,0.79,0.0079,0.105,0.00105,0.54,0.09,0.47,52.84,0.5284,4.642337835,0.069406641,0.009224933,0.386516842,0.004955246,0.000297831,78.00154862,1297.774234,16.63780088
40,DP_N5_ABBA ,Dunphys Pond+N5,DP,N5,ABBA,103.5950875,2016,0.76,0.0076,0.051,0.00051,0.42,0.08,0.43,51.88,0.5188,0.133977643,0.001962664,0.000131705,0.011154857,0.000140123,4.25E-06,79.60748114,2623.345119,32.95349987
41,DP_N7_ABBA,Dunphys Pond+N7,DP,N7,ABBA,415.1402137,2016,0.59,0.0059,0.048,0.00048,0.34,0.08,0.69,52,0.52,0.538135139,0.006105764,0.00049674,0.044804644,0.000435917,1.60E-05,102.7824201,2793.751308,27.18121741
42,DP_N9_ABBA,Dunphys Pond+N9,DP,N9,ABBA,953.920157,2016,0.94,0.0094,0.098,0.00098,0.58,0.1,0.48,52.2,0.522,1.241297076,0.022352859,0.002330404,0.10334927,0.001595869,7.52E-05,64.76049459,1373.630941,21.21093963
43,TN_A11_ABBA ,TNNP North+A11,TN,A11,ABBA,49.59456832,2016,0.87,0.0087,0.077,0.00077,0.42,0.09,0.98,51.56,0.5156,0.063744134,0.00107559,9.52E-05,0.005307279,7.68E-05,3.07E-06,69.11322576,1726.822986,24.98542019
44,TN_A13_ABBA,TNNP North+A13,TN,A13,ABBA,3.742515658,2016,0.86,0.0086,0.053,0.00053,0.55,0.08,0.64,52.62,0.5262,0.004909165,8.02E-05,4.94E-06,0.000408733,5.73E-06,1.60E-07,71.35425893,2560.357512,35.88233626
45,TN_A7_ABBA ,TNNP North+A7,TN,A7,ABBA,161.8316755,2016,0.92,0.0092,0.063,0.00063,0.61,0.08,0.7,52.06,0.5206,0.210020118,0.003711458,0.000254154,0.017486085,0.000264977,8.21E-06,65.99086847,2131.02847,32.29277807
46,TN_C10_ABBA ,TNNP North+C10,TN,C10,ABBA,5385.128403,2016,0.98,0.0098,0.136,0.00136,0.7,0.11,0.65,52.41,0.5241,7.035637033,0.131557418,0.018256948,0.585780765,0.009392463,0.000589433,62.36710591,993.8043397,15.93475158
47,TN_C4_ABBA,TNNP North+C4,TN,C4,ABBA,478.3611767,2016,1.04,0.0104,0.068,0.00068,0.71,0.07,0.65,52.69,0.5269,0.628314855,0.012401736,0.000810883,0.052312926,0.000885415,2.62E-05,59.08297657,1998.227463,33.82069724
48,TN_C6_ABBA,TNNP North+C6,TN,C6,ABBA,4.339857202,2016,0.82,0.0082,0.088,0.00088,0.5,0.14,0.44,52.64,0.5264,0.005694879,8.87E-05,9.52E-06,0.00047415,6.33E-06,3.07E-07,74.86339802,1542.619603,20.60579194
49,TN_F1_ABBA,TNNP North+F1,TN,F1,ABBA,71.39375318,2016,1.32,0.0132,0.169,0.00169,0.81,0.1,0.72,51.87,0.5187,0.092314445,0.00234924,0.000300774,0.007686017,0.000167723,9.71E-06,45.82577562,791.507767,17.27210847
50,TN_F11_ABBA,TNNP North+F11,TN,F11,ABBA,3.149605829,2016,1.14,0.0114,0.113,0.00113,0.62,0.08,0.42,52.05,0.5205,0.004086675,8.95E-05,8.87E-06,0.000340253,6.39E-06,2.86E-07,53.24555889,1187.867302,22.30922779
51,TN_F13_ABBA,TNNP North+F13,TN,F13,ABBA,13.87066949,2016,0.73,0.0073,0.06,0.0006,0.57,0.09,0.37,51.47,0.5147,0.017796918,0.000252414,2.07E-05,0.001481755,1.80E-05,6.70E-07,82.22404076,2212.221228,26.90479825
52,TN_I6_ABBA,TNNP North+I6,TN,I6,ABBA,116.776216,2016,1.04,0.0104,0.087,0.00087,0.78,0.07,0.58,51.8,0.518,0.150791674,0.003027478,0.00025326,0.012554778,0.000216145,8.18E-06,58.0849912,1535.451647,26.43456796
53,TN_N7_ABBA,TNNP North+N7,TN,N7,ABBA,409.4491084,2016,1.27,0.0127,0.092,0.00092,0.64,0.1,0.48,51.88,0.5188,0.529533086,0.012962741,0.000939033,0.044088445,0.000925467,3.03E-05,47.63912257,1454.245664,30.52628986
54,TN_N9_ABBA,TNNP North+N9,TN,N9,ABBA,1629.962066,2016,0.94,0.0094,0.085,0.00085,0.73,0.08,0.36,52.41,0.5241,2.129535382,0.0381943,0.00345374,0.177303187,0.002726859,0.000111505,65.02102531,1590.086943,24.45496569
55,UNI_A1_ABBA ,Unicorn+A1,UNI,A1,ABBA,1785.099936,2016,0.79,0.0079,0.056,0.00056,0.6,0.07,0.48,52.55,0.5255,2.338451991,0.035154654,0.002491975,0.194697394,0.002509846,8.05E-05,77.57345534,2419.971943,31.19587664
56,UNI_A11_ABBA ,Unicorn+A11,UNI,A11,ABBA,1973.740037,2016,0.86,0.0086,0.073,0.00073,0.51,0.09,0.69,52.58,0.5258,2.587043529,0.042313759,0.003591749,0.2153949,0.003020966,0.000115961,71.30001776,1857.476634,26.0515592
57,UNI_A13_ABBA,Unicorn+A13,UNI,A13,ABBA,666.7638993,2016,1.39,0.0139,0.13,0.0013,0.92,0.09,0.31,52.39,0.5239,0.870790494,0.023103623,0.00216077,0.072501228,0.001649469,6.98E-05,43.95427345,1039.275487,23.6444697
58,UNI_A3_ABBA,Unicorn+A3,UNI,A3,ABBA,169.8305401,2016,1.05,0.0105,0.067,0.00067,0.52,0.1,0.65,52.32,0.5232,0.22150153,0.004445272,0.000283651,0.018442017,0.000317368,9.16E-06,58.10934012,2013.810357,34.65553649
59,UNI_A5_ABBA,Unicorn+A5,UNI,A5,ABBA,246.377264,2016,1.29,0.0129,0.126,0.00126,0.91,0.09,0.3,52.18,0.5218,0.320477767,0.007922888,0.000773864,0.026682689,0.00056565,2.50E-05,47.17173737,1067.97028,22.6400455
60,UNI_A7_ABBA,Unicorn+A7,UNI,A7,ABBA,40.54739948,2016,0.87,0.0087,0.051,0.00051,0.56,0.08,0.49,52.89,0.5289,0.053460101,0.000879378,5.15E-05,0.00445104,6.28E-05,1.66E-06,70.89601456,2674.41641,37.72308538
61,UNI_A9_ABBA ,Unicorn+A9,UNI,A9,ABBA,952.4724714,2016,0.98,0.0098,0.088,0.00088,0.7,0.1,0.56,52.36,0.5236,1.24321223,0.023268678,0.002089432,0.103508724,0.001661253,6.75E-05,62.30760667,1534.41418,24.62643426
62,UNI_C12_ABBA ,Unicorn+C12,UNI,C12,ABBA,1087.102341,2016,0.82,0.0082,0.069,0.00069,0.52,0.08,0.67,52.15,0.5215,1.413246593,0.022221711,0.001869876,0.117665631,0.001586506,6.04E-05,74.16653129,1949.085361,26.27985058
63,UNI_C14_ABBA,Unicorn+C14,UNI,C14,ABBA,221.0681929,2016,0.82,0.0082,0.058,0.00058,0.52,0.1,0.47,52.41,0.5241,0.28882423,0.004518906,0.00031963,0.024047244,0.000322625,1.03E-05,74.53629731,2330.299831,31.26396018
64,UNI_C2_ABBA,Unicorn+C2,UNI,C2,ABBA,250.790667,2016,0.86,0.0086,0.05,0.0005,0.49,0.11,0.67,52.22,0.5222,0.326468619,0.005376542,0.00031259,0.027181481,0.000383855,1.01E-05,70.81184723,2693.348184,38.03527643
65,UNI_C6_ABBA,Unicorn+C6,UNI,C6,ABBA,4.243080326,2016,0.62,0.0062,0.053,0.00053,0.28,0.12,0.6,53.25,0.5325,0.005632408,6.56E-05,5.61E-06,0.000468949,4.68E-06,1.81E-07,100.160257,2591.011735,25.86866102
66,UNI_C8_ABBA,Unicorn+C8,UNI,C8,ABBA,1200.827,2016,0.69,0.0069,0.051,0.00051,0.43,0.11,0.61,52.57,0.5257,1.573662605,0.020654883,0.001526665,0.131021723,0.001474643,4.93E-05,88.84978756,2658.235407,29.91830909
67,UNI_E1_ABBA,Unicorn+E1,UNI,E1,ABBA,349.1451718,2016,0.74,0.0074,0.044,0.00044,0.45,0.07,0.47,52.11,0.5211,0.453544931,0.006440669,0.000382959,0.03776174,0.000459828,1.24E-05,82.12149763,3054.175818,37.19094154
68,UNI_F1_ABBA ,Unicorn+F1,UNI,F1,ABBA,4172.081427,2016,0.71,0.0071,0.056,0.00056,0.43,0.11,0.67,52.87,0.5287,5.498640037,0.073842149,0.00582417,0.457811788,0.005271916,0.000188036,86.83973093,2434.708214,28.03680053
69,UNI_F11_ABBA ,Unicorn+F11,UNI,F11,ABBA,222.1537598,2016,0.91,0.0091,0.07,0.0007,0.48,0.1,0.67,52.52,0.5252,0.290851688,0.005039509,0.000387655,0.024216048,0.000359793,1.25E-05,67.30554303,1934.872334,28.74759265
70,UNI_F13_ABBA,Unicorn+F13,UNI,F13,ABBA,442.6884669,2016,0.75,0.0075,0.059,0.00059,0.46,0.08,0.55,52.45,0.5245,0.57881117,0.008276613,0.000651094,0.048191294,0.000590904,2.10E-05,81.55521493,2292.551595,28.11042306
71,UNI_F3_ABBA,Unicorn+F3,UNI,F3,ABBA,75.82475139,2016,0.93,0.0093,0.114,0.00114,0.54,0.13,0.45,52.52,0.5252,0.09927249,0.001757872,0.000215481,0.008265338,0.000125502,6.96E-06,65.858112,1188.079504,18.03998729
72,UNI_F5_ABBA,Unicorn+F5,UNI,F5,ABBA,20.51207461,2016,0.66,0.0066,0.098,0.00098,0.37,0.1,0.52,53.12,0.5312,0.027161944,0.000337479,5.01E-05,0.002261479,2.41E-05,1.62E-06,93.86023523,1397.840529,14.8927874
73,UNI_F7_ABBA ,Unicorn+F7,UNI,F7,ABBA,19.10812997,2016,0.65,0.0065,0.088,0.00088,0.38,0.1,0.62,52.33,0.5233,0.024926547,0.000309617,4.19E-05,0.002075362,2.21E-05,1.35E-06,93.88687536,1533.535027,16.33385946
74,UNI_F9_ABBA,Unicorn+F9,UNI,F9,ABBA,1219.25613,2016,0.75,0.0075,0.052,0.00052,0.39,0.13,0.76,51.95,0.5195,1.578969362,0.022795515,0.001580489,0.131463559,0.001627472,5.10E-05,80.77775817,2576.3677,31.89451847
75,UNI_G14_ABBA,Unicorn+G14,UNI,G14,ABBA,58.66542605,2016,0.78,0.0078,0.098,0.00098,0.41,0.08,0.58,51.9,0.519,0.075900177,0.001140696,0.000143318,0.00631938,8.14E-05,4.63E-06,77.59616585,1365.736511,17.60056693
76,UNI_I10_ABBA ,Unicorn+I10,UNI,I10,ABBA,152.8191415,2016,0.76,0.0076,0.045,0.00045,0.41,0.08,0.86,51.92,0.5192,0.197790598,0.00289524,0.000171429,0.016467866,0.000206704,5.53E-06,79.6688593,2975.416778,37.34729986
77,UNI_I12_ABBA ,Unicorn+I12,UNI,I12,ABBA,168.4905375,2016,0.94,0.0094,0.058,0.00058,0.52,0.1,0.58,52.75,0.5275,0.221559912,0.003948177,0.000243611,0.018446878,0.000281878,7.87E-06,65.44283696,2345.417212,35.83917386
78,UNI_I14_ABBA,Unicorn+I14,UNI,I14,ABBA,147.7518556,2016,0.95,0.0095,0.079,0.00079,0.62,0.09,0.56,52.35,0.5235,0.192815895,0.003499047,0.000290973,0.016053677,0.000249812,9.39E-06,64.26293967,1708.894422,26.592223
79,UNI_I2_ABBA,Unicorn+I2,UNI,I2,ABBA,90.68679096,2016,0.6,0.006,0.033,0.00033,0.37,0.1,0.6,52.3,0.523,0.118233059,0.001356402,7.46E-05,0.009843977,9.68E-05,2.41E-06,101.6524724,4087.082333,40.20642329
80,UNI_I4_ABBA,Unicorn+I4,UNI,I4,ABBA,1814.470208,2016,0.8,0.008,0.037,0.00037,0.41,0.08,0.68,52.55,0.5255,2.376926571,0.036185371,0.001673573,0.197900753,0.002583433,5.40E-05,76.60378714,3662.660239,47.81304391
81,UNI_I6_ABBA,Unicorn+I6,UNI,I6,ABBA,9.334596542,2016,0.64,0.0064,0.045,0.00045,0.3,0.12,0.77,52.45,0.5245,0.012204901,0.000148925,1.05E-05,0.001016169,1.06E-05,3.38E-07,95.5725175,3005.789869,31.45035777
82,UNI_K1_ABBA,Unicorn+K1,UNI,K1,ABBA,7.512647611,2016,0.88,0.0088,0.054,0.00054,0.43,0.1,0.77,53.17,0.5317,0.009957559,0.000164804,1.01E-05,0.000829057,1.18E-05,3.27E-07,70.46143694,2539.209522,36.03686828
83,UNI_L10_ABBA,Unicorn+L10,UNI,L10,ABBA,1918.315483,2016,0.89,0.0089,0.047,0.00047,0.45,0.08,0.62,52.53,0.5253,2.512005791,0.042560159,0.002247559,0.209147326,0.003038557,7.26E-05,68.83113035,2882.273444,41.87456213
84,UNI_L12_ABBA,Unicorn+L12,UNI,L12,ABBA,118.8420688,2016,0.62,0.0062,0.05,0.0005,0.38,0.09,0.89,52.38,0.5238,0.155177554,0.001836771,0.000148127,0.012919943,0.000131135,4.78E-06,98.52383587,2701.600495,27.42078068
85,UNI_L14_ABBA ,Unicorn+L14,UNI,L14,ABBA,242.4208486,2016,0.67,0.0067,0.049,0.00049,0.33,0.1,0.66,52.1,0.521,0.314847967,0.004048909,0.000296114,0.026213957,0.000289069,9.56E-06,90.68394985,2741.998929,30.23687139
86,UNI_L4_ABBA ,Unicorn+L4,UNI,L4,ABBA,1981.325333,2016,0.73,0.0073,0.053,0.00053,0.38,0.11,0.77,52.94,0.5294,2.614766625,0.036055528,0.00261773,0.2177031,0.002574163,8.45E-05,84.5723862,2575.927911,30.45826217
87,UNI_L6_ABBA,Unicorn+L6,UNI,L6,ABBA,3.432950192,2016,0.99,0.0099,0.06,0.0006,0.53,0.1,0.71,52.51,0.5251,0.004493686,8.47E-05,5.13E-06,0.00037414,6.05E-06,1.66E-07,61.85493163,2256.921249,36.48732914
88,UNI_L8_ABBA,Unicorn+L8,UNI,L8,ABBA,448.031815,2016,0.79,0.0079,0.053,0.00053,0.5,0.11,0.66,52.31,0.5231,0.584233933,0.008823261,0.00059194,0.048642788,0.000629931,1.91E-05,77.21917124,2545.273688,32.96168098
89,UNI_N1_ABBA,Unicorn+N1,UNI,N1,ABBA,34.55336121,2016,0.85,0.0085,0.064,0.00064,0.43,0.14,0.95,52.55,0.5255,0.045264343,0.000732154,5.51E-05,0.003768668,5.23E-05,1.78E-06,72.09768202,2117.47545,29.36953576
90,UNI_N11_ABBA,Unicorn+N11,UNI,N11,ABBA,592.8497625,2016,0.64,0.0064,0.038,0.00038,0.38,0.09,0.64,52.06,0.5206,0.769381993,0.009458403,0.000561593,0.064058048,0.000675277,1.81E-05,94.86187342,3533.020885,37.24384473
91,UNI_N13_ABBA ,Unicorn+N13,UNI,N13,ABBA,3930.608401,2016,0.66,0.0066,0.041,0.00041,0.4,0.15,1.23,52.78,0.5278,5.171569523,0.064669115,0.004017324,0.430580193,0.004617013,0.000129701,93.25947318,3319.794237,35.59739428
92,UNI_N3_ABBA ,Unicorn+N3,UNI,N3,ABBA,304.6379972,2016,0.83,0.0083,0.066,0.00066,0.35,0.12,0.86,53.11,0.5311,0.403323546,0.006303117,0.000501212,0.033580353,0.000450007,1.62E-05,74.62179928,2075.190657,27.80944278
93,UNI_N5_ABBA ,Unicorn+N5,UNI,N5,ABBA,10.98215963,2016,0.81,0.0081,0.043,0.00043,0.41,0.08,0.51,53.6,0.536,0.014673906,0.000221751,1.18E-05,0.001221736,1.58E-05,3.80E-07,77.16978287,3214.563222,41.65572459
94,UNI_N7_ABBA,Unicorn+N7,UNI,N7,ABBA,13.42975027,2016,0.71,0.0071,0.043,0.00043,0.38,0.09,0.61,52.69,0.5269,0.017639625,0.000237695,1.44E-05,0.001468659,1.70E-05,4.65E-07,86.54407836,3159.987615,36.51304255
95,UNI_N9_ABBA ,Unicorn+N9,UNI,N9,ABBA,3.73743462,2016,0.66,0.0066,0.055,0.00055,0.43,0.11,0.55,52.43,0.5243,0.004884799,6.15E-05,5.12E-06,0.000406704,4.39E-06,1.65E-07,92.64104166,2458.344857,26.53623937
96,BL_N1_ACRU,Bloomfield+N1,BL,N1,ACRU,127.1648916,2016,1.81,0.0181,0.177,0.00177,0.95,0.17,0.28,50.52,0.5052,0.16014883,0.005737715,0.000561092,0.013333847,0.000409641,1.81E-05,32.55009605,736.0642298,22.61327366
97,BL_N7_ACRU,Bloomfield+N7,BL,N7,ACRU,201.201519,2016,2.05,0.0205,0.11,0.0011,0.84,0.19,0.78,50.03,0.5003,0.250931372,0.010282017,0.000551718,0.020892319,0.000734078,1.78E-05,28.46060641,1172.906668,41.21158387
98,DP_A1_ACRU,Dunphys Pond+A1,DP,A1,ACRU,404.2594443,2016,1.81,0.0181,0.098,0.00098,0.73,0.21,0.5,49.76,0.4976,0.50145706,0.018240299,0.000987596,0.04175086,0.001302255,3.19E-05,32.06042715,1309.422905,40.84234121
99,DP_A11_ACRU,Dunphys Pond+A11,DP,A11,ACRU,183.8369382,2016,1.67,0.0167,0.094,0.00094,0.63,0.2,0.44,50.65,0.5065,0.232116189,0.007653189,0.000430778,0.019325784,0.000546395,1.39E-05,35.3696275,1389.559775,39.28680829
