X	Y	rain	djungle	snouter1.1	snouter1.2	snouter1.3	snouter1.4	snouter1.5	snouter1.6	snouter1.7	snouter1.8	snouter1.9	snouter1.10	snouter2.1	snouter2.2	snouter2.3	snouter2.4	snouter2.5	snouter2.6	snouter2.7	snouter2.8	snouter2.9	snouter2.10	snouter3.1	snouter3.2	snouter3.3	snouter3.4	snouter3.5	snouter3.6	snouter3.7	snouter3.8	snouter3.9	snouter3.10
16	5	750	11	82.2	66.2	66.9	61.9	71.1	61.4	97.1	86	58.3	68.9	1	1	1	1	1	1	1	1	0	1	13	8	8	7	10	7	18	14	6	9
17	5	722.5	4	79.8	67.8	54.8	65.5	71.5	58.2	97.3	86.1	57.4	62.5	1	1	0	1	1	0	1	1	0	1	13	9	5	8	10	6	18	15	6	7
18	5	725	7	79.6	60.1	57.7	67.9	75.4	63.9	92.8	54.6	57.7	59.1	1	0	0	1	1	1	1	0	0	0	12	6	6	9	11	8	17	5	6	6
19	5	667.5	13	84.1	64	52.7	61.8	70.3	71.3	96	51.9	72	58.4	1	1	0	1	1	1	1	0	1	0	14	8	4	7	10	10	18	4	10	6
20	5	580	16	86.2	72.4	62.2	71.3	70.2	71.8	87.4	61.7	62	64.2	1	1	1	1	1	1	1	1	1	1	16	11	8	11	10	11	16	8	8	8
21	5	492.5	7	83.2	73.1	67.3	69.3	78.5	60.8	82.3	77.5	57.8	73.3	1	1	1	1	1	1	1	1	0	1	15	12	10	11	14	8	15	13	7	12
22	5	405	8	92.7	64.5	55.3	77.8	80.5	65.2	81.1	78.3	74.8	80.3	1	1	0	1	1	1	1	1	1	1	20	9	6	14	15	10	16	15	13	15
23	5	287.5	20	90.1	65.7	71.1	80.2	83.2	57.2	79.2	85.3	78.7	74.9	1	1	1	1	1	0	1	1	1	1	20	11	13	16	17	7	16	18	16	14
5	6	245	16	78.1	67.3	81.6	83.8	84.5	75.5	88.8	61.1	76	73.4	1	1	1	1	1	1	1	1	1	1	16	12	17	18	18	15	20	9	15	14
6	6	368	15	78.9	72	92.9	96.1	85.9	79.7	84.5	74.1	63.3	65	1	1	1	1	1	1	1	1	1	1	15	12	20	21	18	15	17	13	9	10
7	6	371	17	81.2	69.5	82.4	101.4	88.4	78.9	68.5	76.9	70.2	62.3	1	1	1	1	1	1	1	1	1	1	16	12	16	23	19	15	11	14	12	9
8	6	404	18	70.7	71.5	72.1	85	79.4	70	61.6	63.8	75.7	61.3	1	1	1	1	1	1	1	1	1	1	12	12	12	17	15	11	8	9	14	8
9	6	437	8	79.6	65.6	74.1	88.5	79.2	62.8	62.7	65.6	70.8	55.7	1	1	1	1	1	1	1	1	1	0	15	10	13	18	15	9	9	10	12	6
10	6	590	17	86	71.7	71.9	81.1	89	49.1	69.3	70.5	73.8	62.7	1	1	1	1	1	0	1	1	1	1	16	11	11	14	17	3	10	10	12	8
11	6	683	7	67.2	74.9	75.1	85.7	75.5	50.9	64.8	64.5	71.4	66.1	1	1	1	1	1	0	1	1	1	1	9	11	11	15	11	4	8	8	10	8
12	6	716	3	68.5	84.3	89.1	78.2	73.3	57.3	71.4	71	66.9	65.6	1	1	1	1	1	0	1	1	1	1	9	14	16	12	11	6	10	10	9	8
13	6	749	9	65.3	88.1	75.9	66.3	82.1	64.1	76.5	81.7	62.6	66.7	1	1	1	1	1	1	1	1	1	1	8	15	11	8	13	8	11	13	7	8
14	6	782	6	78	85.7	74.6	64.7	78.8	65.6	68.9	85.5	54.9	66.1	1	1	1	1	1	1	1	1	0	1	12	14	11	8	12	8	9	14	5	8
15	6	845	7	82.9	75.8	79.5	64.4	63.1	62.3	71	83.5	52.3	58.1	1	1	1	1	1	1	1	1	0	0	13	11	12	7	7	7	9	13	4	5
16	6	848	8	75.3	63.2	72.7	77.1	60.5	66.4	73	75.9	54.9	62.5	1	1	1	1	1	1	1	1	0	1	10	7	10	11	6	8	10	11	4	7
17	6	821	7	78.2	63.6	64.9	70.6	66	66.3	86.3	73.3	60.9	58.5	1	1	1	1	1	1	1	1	1	0	11	7	8	9	8	8	14	10	6	6
18	6	824	2	87	55	60.5	70.4	74.3	67.2	92.4	60.9	59.1	61.4	1	0	1	1	1	1	1	1	0	1	14	5	6	9	10	8	16	6	6	6
19	6	797	2	89.3	61	58.4	59.1	71.1	71.9	85	60.2	64.5	57.1	1	1	0	0	1	1	1	0	1	0	15	6	6	6	9	10	14	6	7	5
20	6	740	18	91.5	53.7	48.8	69.4	69.7	68.7	78.5	68	60.4	63.4	1	0	0	1	1	1	1	1	0	1	16	4	3	9	9	9	12	9	6	7
21	6	653	8	83.9	57.3	54.9	69.1	70	64	77.6	70.5	72	72.2	1	0	0	1	1	1	1	1	1	1	14	6	5	10	10	8	12	10	11	11
22	6	536	1	88	57.6	70.4	74.1	78.4	58.1	83.4	71.4	70.9	70.6	1	0	1	1	1	0	1	1	1	1	17	6	11	12	13	7	15	11	11	11
23	6	419	12	88.6	52.6	58.7	69.1	81.5	54.3	84	89.3	76.9	74	1	0	0	1	1	0	1	1	1	1	18	5	7	11	16	6	16	18	14	13
24	6	302	9	86.3	66.4	66.4	71.4	75.5	66.3	91.4	79.1	69.4	79.6	1	1	1	1	1	1	1	1	1	1	19	11	11	13	14	11	20	16	12	16
25	6	275	6	88.4	60.3	60.6	75	70.5	77.8	80.2	86.7	67.5	59.7	1	0	1	1	1	1	1	1	1	0	20	9	9	14	13	15	16	19	12	8
5	7	397.5	16	81.3	65.8	85.7	91.6	83.4	62.2	77.7	54.7	77.8	78.9	1	1	1	1	1	1	1	0	1	1	16	10	17	19	16	9	14	6	14	15
6	7	461	18	75.6	64.6	84.4	86.3	77.2	68.8	76.3	60.4	70.3	82.4	1	1	1	1	1	1	1	0	1	1	13	9	16	17	14	11	13	8	11	15
7	7	524.5	10	69.3	73.1	70.3	86.3	80.7	70.9	63.7	65.3	66.5	71.4	1	1	1	1	1	1	1	1	1	1	10	12	11	16	14	11	8	9	9	11
8	7	558	0	72.6	66.9	81.7	90.4	76	77.9	52.4	67	65.4	71.9	1	1	1	1	1	1	0	1	1	1	11	9	14	17	12	13	4	9	9	11
9	7	651.5	2	74.5	65.3	73.7	82.5	77.9	64.1	51.3	65.5	70.9	70.9	1	1	1	1	1	1	0	1	1	1	11	8	11	14	12	8	4	8	10	10
10	7	745	4	74.6	71.3	67.1	74.5	74.9	48.1	55.7	63.7	79.9	78.1	1	1	1	1	1	0	0	1	1	1	11	10	9	11	11	3	5	7	12	12
11	7	778.5	13	66	75.3	68.2	77.3	80.4	45.9	53.2	61.9	76.9	68.6	1	1	1	1	1	0	0	1	1	1	8	11	9	11	12	2	4	7	11	9
12	7	812	14	62.2	77.9	78.6	70.4	92.2	46.9	57.9	65.6	68.8	65.8	1	1	1	1	1	0	0	1	1	1	7	11	12	9	16	2	5	8	9	8
13	7	845.5	7	55	78.8	74.8	69.6	73.7	61.9	73.8	71.9	57.9	66.8	0	1	1	1	1	1	1	1	0	1	4	11	10	9	10	7	10	9	5	8
14	7	909	9	60.1	78.5	77.4	65.1	69.8	61.5	70	67.1	67.2	52.3	1	1	1	1	1	1	1	1	1	0	6	11	11	7	9	6	9	8	8	4
15	7	942.5	4	73.1	76.2	76.6	56.3	73.7	63.9	65.7	76.9	51.6	62.5	1	1	1	0	1	1	1	1	0	1	9	10	10	5	10	7	7	10	3	6
16	7	946	3	75.4	58.9	73.9	69.6	61.8	58.9	73.3	68.1	47.2	64.1	1	0	1	1	1	0	1	1	0	1	10	5	10	8	6	5	9	8	2	7
17	7	949.5	11	78	62.7	59.7	84.9	61.9	61.1	79.9	68.4	56.6	54.8	1	1	0	1	1	1	1	1	0	0	11	6	6	13	6	6	11	8	5	4
18	7	953	19	77.6	60	56	75.4	71.3	59.1	86	71.3	45.5	63.6	1	1	0	1	1	0	1	1	0	1	11	6	5	10	9	5	13	9	2	7
19	7	926.5	14	84.3	62.2	58.3	53.8	61.8	53.5	77.3	67.1	50.1	61.3	1	1	0	0	1	0	1	1	0	1	13	6	5	4	6	4	11	8	3	6
20	7	840	12	77.6	63.8	47.8	62.1	72.9	53.5	71.2	72.6	49.2	67.1	1	1	0	1	1	0	1	1	0	1	11	7	2	7	10	4	9	10	3	8
21	7	753.5	9	80.5	66.6	53.5	58.9	68.5	56.3	86.1	81.5	61.7	78.6	1	1	0	0	1	0	1	1	1	1	13	8	4	6	9	5	14	13	7	12
22	7	667	1	78	58.8	65.2	62.6	74.2	63.5	82.6	75.6	60.3	78.5	1	0	1	1	1	1	1	1	0	1	12	6	8	7	11	8	14	12	7	13
23	7	550.5	16	78.3	50.8	76.7	68.9	72.7	61.5	81.9	87.8	75.3	73.3	1	0	1	1	1	1	1	1	1	1	13	4	13	10	11	8	15	17	12	12
24	7	434	7	87.5	57.9	62.3	70	77.2	65.8	95.9	77.6	71.4	75	1	0	1	1	1	1	1	1	1	1	18	7	8	11	14	10	21	14	12	13
25	7	377.5	0	77.9	72.7	66.1	71.7	68.3	76.5	86.8	84.4	69.8	78.7	1	1	1	1	1	1	1	1	1	1	15	13	10	12	11	14	18	17	12	15
26	7	351	19	81.8	67.2	59.5	69.4	78.8	75.6	76.6	84.3	75.2	82	1	1	0	1	1	1	1	1	1	1	16	11	8	12	15	14	14	17	14	16
27	7	354.5	15	97.8	67.3	64.9	74.4	69.4	74.3	69	77.2	83.8	87.5	1	1	1	1	1	1	1	1	1	1	22	11	10	13	12	13	11	15	17	18
28	7	328	20	83.6	62.7	74.1	56.8	70.9	84.4	73.2	68.2	78	83.4	1	1	1	0	1	1	1	1	1	1	17	9	14	7	12	17	13	11	15	17
29	7	331.5	6	77.6	71.5	81.6	64.1	74.2	90	62.3	62.5	65.7	83	1	1	1	1	1	1	1	1	1	1	15	13	16	10	14	20	9	9	10	17
30	7	335	15	81	70.9	72.5	65.3	74	105.5	63.9	65.8	77.9	70.9	1	1	1	1	1	1	1	1	1	1	16	12	13	10	13	25	10	10	15	12
31	7	308.5	12	77.5	84.6	78.3	72	69.5	104.4	60.9	76.3	84.2	74.4	1	1	1	1	1	1	1	1	1	1	15	18	15	13	12	25	9	15	18	14
40	7	370	13	72.6	93.8	61.9	80	66.6	75.7	68.9	77.5	90.8	63.1	1	1	1	1	1	1	1	1	1	1	13	21	9	15	10	14	11	15	19	9
41	7	403.5	2	76.7	100.5	63.4	76.7	81.8	69.7	73.7	79.1	82.5	66.5	1	1	1	1	1	1	1	1	1	1	14	23	9	14	16	11	13	15	16	10
42	7	407	2	72.6	95.1	60.8	76.8	81.1	67.7	80.6	80.9	81.4	65	1	1	1	1	1	1	1	1	1	1	12	21	8	14	15	11	15	15	16	10
43	7	380.5	15	80.7	83.4	65.6	73.4	79.4	61.3	92.9	89.3	69.8	75.7	1	1	1	1	1	1	1	1	1	1	16	17	10	13	15	8	20	19	12	14
44	7	354	15	81.9	91.9	72.2	89.1	90.6	73.1	95.6	83.4	63.9	86.5	1	1	1	1	1	1	1	1	1	1	16	20	13	19	20	13	21	17	10	18
4	8	216	5	70.1	80.1	84.7	85.6	84.6	77.7	78	62.6	76	90.5	1	1	1	1	1	1	1	1	1	1	13	17	19	19	19	16	16	10	15	21
5	8	400	7	77.1	61.9	87.1	80.8	82.8	61.4	79.9	62.3	70.1	80.4	1	1	1	1	1	1	1	1	1	1	14	9	18	15	16	8	15	9	12	15
6	8	524	15	77.1	65	88	77	84.4	61.3	70	62.3	73.8	86.6	1	1	1	1	1	1	1	1	1	1	13	9	17	13	16	8	11	8	12	16
7	8	618	4	61.7	54.8	82.5	81.7	78.9	61.3	60.4	60.4	69.6	74.4	1	0	1	1	1	1	0	0	1	1	7	5	14	14	13	7	7	7	10	12
8	8	682	1	76	56.8	77.2	84.7	71.2	66.5	62.1	64.1	67.9	74.7	1	0	1	1	1	1	1	1	1	1	12	6	12	14	10	9	7	8	9	11
9	8	746	1	69.9	59.5	80.9	86.8	81.3	57.9	46.4	62	59.4	76.1	1	0	1	1	1	0	0	1	0	1	9	6	13	15	13	6	2	7	6	11
10	8	840	12	66.9	56.9	79.7	67.5	77.8	45.8	54.4	65.2	77.7	82.7	1	0	1	1	1	0	0	1	1	1	8	5	12	8	11	2	4	8	11	13
11	8	874	12	66.3	67	78.1	65.7	83.1	45.5	53.2	63	69.6	72	1	1	1	1	1	0	0	1	1	1	8	8	11	8	13	2	4	7	9	9
12	8	908	20	53.3	74.4	70.1	63.1	87.1	51.2	59.3	66	59.4	71.6	0	1	1	1	1	0	0	1	0	1	4	10	9	7	13	3	6	7	6	9
13	8	972	1	63.1	77.7	71.6	78.1	79.6	56.4	70.2	68.4	66.9	61.5	1	1	1	1	1	0	1	1	1	1	6	10	9	11	11	5	8	8	8	6
14	8	1036	17	64.7	69.9	76.8	67.5	73.3	57.8	66.6	64.8	57.8	66.3	1	1	1	1	1	0	1	1	0	1	7	8	10	7	9	5	7	7	5	7
15	8	1040	4	62.2	63.4	64.5	65.8	75	48.3	70.7	77.3	46.5	60.1	1	1	1	1	1	0	1	1	0	1	6	6	7	7	9	2	8	10	2	5
16	8	1044	13	76.6	67.8	66.1	64.9	59.1	47.6	73.7	76.1	55.5	69.6	1	1	1	1	0	0	1	1	0	1	10	7	7	7	5	2	9	10	4	8
17	8	1018	9	74.6	64.5	58.3	72	66.6	45.2	61.8	75	55.2	73	1	1	0	1	1	0	1	1	0	1	9	7	5	9	7	1	6	10	4	9
18	8	1022	6	66.2	60.4	56.8	71.2	61.7	52.6	75.5	66.1	49.8	64.2	1	1	0	1	1	0	1	1	0	1	7	6	5	8	6	3	10	7	3	7
19	8	996	3	63.5	65.5	46.3	60.6	58.1	56.4	81.2	71.9	46.8	70.4	1	1	0	1	0	0	1	1	0	1	6	7	2	6	5	5	11	9	2	8
20	8	940	9	60.6	57.5	50.6	54.4	65.8	54.6	73.3	78.3	44.7	75.7	1	0	0	0	1	0	1	1	0	1	6	5	3	4	7	4	9	11	1	10
21	8	854	9	65.8	61.9	54.6	56	67.1	59.5	85.2	75.7	49.1	79.8	1	1	0	0	1	0	1	1	0	1	8	7	4	5	8	6	13	11	3	12
22	8	768	20	53.7	56.8	63.6	58.5	67.7	62.7	82.6	81.4	54.3	86.9	0	0	1	0	1	1	1	1	0	1	4	5	7	6	9	7	13	13	5	14
23	8	652	16	58.6	59.8	61.8	65.8	73.7	67.3	85.4	91.4	60.3	87.1	0	0	1	1	1	1	1	1	0	1	6	7	7	9	11	9	15	17	7	15
24	8	596	7	71.8	59.5	66.8	60	66.7	54.8	89.8	81.5	64.8	75.1	1	0	1	0	1	0	1	1	1	1	11	7	9	7	9	5	17	14	8	12
25	8	540	10	67.6	68.4	63	61.9	71.4	63.5	95.9	79.8	84	87.1	1	1	1	1	1	1	1	1	1	1	10	10	8	8	11	8	19	14	15	16
26	8	484	6	75.7	60.7	62.8	66.4	70.6	75.6	83.1	81.9	77.3	89.9	1	0	1	1	1	1	1	1	1	1	13	8	8	10	11	13	16	15	13	18
27	8	458	11	78.6	54.1	69.6	63.1	77.2	77.4	69.3	74.2	83.1	88.3	1	0	1	1	1	1	1	1	1	1	14	5	11	9	14	14	11	13	16	18
28	8	462	5	78	66.2	67	57.4	69.8	78	73.2	67.5	85.5	82.2	1	1	1	0	1	1	1	1	1	1	14	10	10	7	11	14	12	10	17	15
29	8	466	19	82.5	70	74.6	56.2	71	90.7	68.1	65.7	68.1	81.1	1	1	1	0	1	1	1	1	1	1	15	11	13	6	11	18	10	9	10	15
30	8	470	3	70.5	70.8	67.7	57.4	70.9	84.2	55.3	67.2	66.2	73.7	1	1	1	0	1	1	0	1	1	1	11	11	10	7	11	16	6	10	10	12
31	8	474	9	78.9	80.3	66.3	66.9	68.5	103.9	49.2	59.6	79.4	66.3	1	1	1	1	1	1	0	0	1	1	14	15	10	10	10	23	4	7	14	10
32	8	388	13	76.1	82.5	74.9	62.5	65.5	101.7	67.8	61.9	82.9	65.1	1	1	1	1	1	1	1	1	1	1	14	16	13	9	10	23	11	9	16	10
33	8	332	12	82.7	84.9	77.9	69.2	81.7	94.6	69.9	67.5	83.1	75.6	1	1	1	1	1	1	1	1	1	1	17	18	15	12	16	21	12	11	17	14
34	8	336	11	95.6	88	83.7	78.1	84.2	81.8	62.3	67.3	78.6	72.6	1	1	1	1	1	1	1	1	1	1	22	19	17	15	17	16	9	11	15	13
37	8	348	10	71	72.7	68.9	91.4	67.9	66.6	67.5	71.4	87.7	91	1	1	1	1	1	1	1	1	1	1	12	13	11	20	11	11	11	12	19	20
38	8	412	13	69.9	77.5	63.3	87.5	76.8	68.5	66.9	67.7	83.5	88.9	1	1	1	1	1	1	1	1	1	1	11	14	9	18	14	11	10	11	16	18
39	8	476	4	67.3	85.5	75	77.8	69.1	66.3	63.8	63.9	82.7	75.6	1	1	1	1	1	1	1	1	1	1	10	16	13	14	11	10	9	9	15	13
40	8	540	2	62	106.2	74.3	79.1	77	72.8	72.2	67.4	74.2	68.7	1	1	1	1	1	1	1	1	1	1	8	23	12	14	13	12	11	10	12	10
41	8	544	2	68.4	100.6	64.3	68.1	75.4	71.1	79.5	75	77.2	75.4	1	1	1	1	1	1	1	1	1	1	10	21	9	10	12	11	14	12	13	12
42	8	548	8	63.3	97	61.3	74.9	76.7	67.8	81.1	88.6	75.2	74.6	1	1	1	1	1	1	1	1	1	1	8	20	8	12	13	10	14	17	12	12
43	8	492	17	63.3	89.6	62.4	84.7	79.6	73.8	87.9	84.4	74.2	74.8	1	1	1	1	1	1	1	1	1	1	9	18	8	16	14	12	17	16	12	13
44	8	406	11	69.8	84.8	61.5	83.9	84.2	74.4	81.1	77.2	57.6	79.8	1	1	1	1	1	1	1	1	0	1	11	17	8	17	17	13	16	14	7	15
4	9	218	8	67.2	80.5	84.2	74.6	71.6	68.6	76.9	72.4	61.1	85.9	1	1	1	1	1	1	1	1	1	1	12	17	19	15	14	12	16	14	9	19
5	9	432.5	0	60.1	63	85.5	77.6	75	62	72.9	74.1	72.5	85.1	0	1	1	1	1	1	1	1	1	1	8	9	17	14	13	8	12	13	12	17
6	9	617	16	61.3	52.9	91.9	75.2	71.2	54.9	62.2	66.8	74.3	90.4	1	0	1	1	1	0	1	1	1	1	7	4	17	12	10	5	8	9	12	17
7	9	681.5	11	67.7	52.4	95.1	86.6	87.3	54.7	55	60.6	69.8	77.6	1	0	1	1	1	0	0	0	1	1	9	4	18	15	15	5	5	7	10	12
8	9	806	5	57.9	55	84.3	83	87.2	51.2	61.8	54	62.6	83.4	0	0	1	1	1	0	1	0	1	1	5	5	13	13	14	3	7	4	7	13
9	9	870.5	17	56.5	45.2	82.7	81.4	83.1	57.6	62.8	56.6	76.7	74	0	0	1	1	1	0	1	0	1	1	5	2	12	12	13	5	7	5	11	10
10	9	935	6	53.4	48.8	77.3	67.9	74.4	49.3	53.4	65.1	67.5	72.1	0	0	1	1	1	0	0	1	1	1	4	3	11	8	10	3	4	7	8	9
11	9	969.5	20	47.4	52.4	69.7	60.4	86.7	39.8	66.4	67.8	78.3	75.2	0	0	1	1	1	0	1	1	1	1	2	4	8	6	13	0	7	8	11	10
