"","Neo.Reference.ID","Name","Absolute.Magnitude","Est.Dia.in.KM.min.","Est.Dia.in.KM.max.","Est.Dia.in.M.min.","Est.Dia.in.M.max.","Est.Dia.in.Miles.min.","Est.Dia.in.Miles.max.","Est.Dia.in.Feet.min.","Est.Dia.in.Feet.max.","Close.Approach.Date","Epoch.Date.Close.Approach","Relative.Velocity.km.per.sec","Relative.Velocity.km.per.hr","Miles.per.hour","Miss.Dist..Astronomical.","Miss.Dist..lunar.","Miss.Dist..kilometers.","Miss.Dist..miles.","Orbiting.Body","Orbit.ID","Orbit.Determination.Date","Orbit.Uncertainity","Minimum.Orbit.Intersection","Jupiter.Tisserand.Invariant","Epoch.Osculation","Eccentricity","Semi.Major.Axis","Inclination","Asc.Node.Longitude","Orbital.Period","Perihelion.Distance","Perihelion.Arg","Aphelion.Dist","Perihelion.Time","Mean.Anomaly","Mean.Motion","Equinox","Hazardous"
"481",3508131,3508131,22.7,0.0766575574,0.1714115092,76.6575573531,171.4115092306,0.0476327831,0.1065101409,251.5011804664,562.3737359442,"1998-02-22",888134400000,17.0932309541,61535.6314346027,38235.8483211285,NA,118.6157073975,45616084,28344522,"Earth",22,"2017-04-06 08:58:23",0,0.0440685,5.422,2458000.5,0.148046816344871,1.13319783334339,25.9201678310939,144.628852307357,440.612719494809,0.965431501827993,108.437371668062,1.30096416485878,2457999.80019024,0.571775402301052,0.817044048144509,"J2000",0
"2072",3358690,3358690,24.7,0.0305179233,0.0682401509,NA,68.2401509401,0.0189629525,0.0424024508,100.1244233463,223.8850168104,"2006-11-15",NA,6.9725104199,25101.037511722,15596.8085583253,0.0345448208,13.4379358292,5167832,3211141.75,"Earth",9,"2017-04-06 09:07:38",7,0.0343587,5.189,2458000.5,0.16493998005013,1.22279412058953,12.4826270620628,234.496310728365,493.887960740481,1.02110648273408,171.211523535426,1.42448175844499,2457998.05504119,1.78215555017745,0.728910256205184,"J2000",0
"299",2399611,2399611,19.3,0.3669061375,0.8204270649,366.9061375314,820.4270648822,0.2279848336,0.5097895857,1203.7603322587,2691.6899315481,"1997-01-15",853315200000,7.8605108762,28297.8391542665,17583.1767789386,0.3620010491,140.8184204102,54154588,33650100,"Earth",51,"2017-04-06 09:21:51",0,0.0862996,NA,2458000.5,0.165720325291865,1.25182556622158,15.2474982808684,138.291036282999,511.580700579814,1.04437262617867,37.9321644427936,1.4592785062645,2458218.82236392,NA,0.703701292077641,"J2000",0
"3983",3601574,NA,26.5,0.0133215567,0.0297879063,13.3215566698,29.7879062798,0.008277629,0.0185093411,43.7058959846,97.7293544391,"2014-08-22",1408690800000,16.2010284459,58323.702405379,36240.0805307201,0.4011958122,156.0651702881,60018040,37293480,"Earth",4,"2017-04-06 08:50:25",8,0.0487075,6.043,2456009.5,0.0665074578286993,0.991152698490959,24.3412895811524,0.594298167298492,360.420328722952,NA,327.357923480622,1.05707174478765,NA,NA,0.99883378186674,"J2000",0
"2454",2428694,NA,NA,0.3503926411,0.7835017643,350.3926411083,783.5017643338,0.2177238258,0.4868452748,1149.5821926537,2570.543928497,"2008-08-15",1218783600000,21.2035414508,76332.7492230164,47430.2018713793,0.0598671777,NA,8956002,5565002,"Earth",50,"2017-04-11 18:55:49",0,NA,4.047,2458000.5,0.648188343688555,1.6017528685265,19.1220455429361,133.517667385865,740.443103603469,0.563515329677917,288.215872529742,2.63999040737508,2457708.26092276,142.08528284326,0.486195358222678,"J2000",0
"3720",3651153,3651153,20.1,0.2538370294,0.5675968529,253.8370293645,567.5968528656,0.1577269688,0.3526882241,832.7986794202,NA,"2013-10-08",1381215600000,18.9400796499,68184.2867397476,42367.0641689282,0.3195402002,124.3011398315,47802536,29703118,"Earth",16,"2017-04-06 08:44:13",2,0.0317864,4.423,2458000.5,NA,1.45032974465172,31.9642783651299,NA,637.967504119519,0.925817147628576,330.05945748752,NA,2457827.85389958,NA,0.564292064525839,"J2000",1
"836",3568329,3568329,22.3,0.0921626549,0.2060819612,92.1626548503,206.0819612321,0.057267201,0.1280533543,302.370924539,676.1219416887,"2000-04-08",955177200000,7.4155548065,26695.9973035542,16587.8545467556,0.3241922929,NA,48498476,30135556,"Earth",23,"2017-04-06 08:53:14",1,0.0252137,5.794,2458000.5,0.275123785645798,1.05550178667604,3.26104101644676,NA,396.083623173814,0.765108139369823,124.501534930566,1.34589543398225,2457818.29810254,165.60311824853,0.908898977229413,"J2000",0
"982",2368184,2368184,19.5,0.3346223745,0.7482383761,334.6223744549,748.2383760735,0.2079246394,0.464933628,1097.8424710066,2454.8503937571,"2001-01-22",980150400000,14.0351503665,50526.5413192423,31395.2278547259,0.2960726128,NA,NA,27521668,"Earth",57,"2017-04-06 09:22:35",0,0.107335,6.252,2458000.5,0.318017317547563,0.950752350558619,16.1023903686363,312.749322680527,338.609811942947,0.648396638381927,211.711719540158,NA,2458051.60192032,305.669940251925,1.06317060906864,"J2000",0
"1540",3627115,3627115,21.1,0.160160338,0.358129403,160.1603379786,358.1294030194,0.0995189894,0.2225312253,525.4604432536,1174.9652706022,"2004-03-15",1079337600000,23.4805093642,84529.8337112878,52523.5513968832,0.2825389252,109.9076385498,42267220,26263634,"Earth",9,"2017-04-06 08:46:41",2,NA,6.699,2458000.5,0.72012469942043,0.83922659267352,26.4704590439927,142.001259978313,280.813047245921,0.23487879487887,185.780347343485,NA,2457910.42639233,115.473618767136,1.28199171488186,"J2000",0
"2274",NA,3395986,19.4,0.3503926411,0.7835017643,350.3926411083,783.5017643338,0.2177238258,0.4868452748,1149.5821926537,2570.543928497,"2007-11-08",1194508800000,22.0584319386,79410.3549789406,49342.5064034423,0.1179283358,45.8741226196,17641828,10962124,"Earth",19,"2017-04-06 09:05:02",0,0.12015,3.354,2458000.5,0.715365759508386,2.09677474660105,10.5660002077001,184.667827924262,1108.98607487493,0.596813887480787,135.787221686403,3.59673560572131,2457698.67855955,97.9775319301825,0.324620847958439,"J2000",0
"2552",3102756,3102756,22.7,0.0766575574,0.1714115092,76.6575573531,171.4115092306,0.0476327831,0.1065101409,251.5011804664,562.3737359442,"2009-01-15",1232006400000,7.8595045617,28294.2164222484,17580.9257541465,0.0183937601,7.1551728249,NA,1709806.875,"Earth",10,"2017-04-06 09:15:34",2,0.00385218,6.481,2458000.5,0.162196078949953,0.917141354366244,13.0602411095975,295.040637040068,320.813652320695,0.76838462284519,305.903334154267,1.0658980858873,2458153.67695533,188.112976113488,1.12214675839335,"J2000",0
"3427",3725122,3725122,21.8,0.1160259082,0.2594418179,116.0259082094,259.4418179074,0.0720951346,0.1612096218,380.6624406898,851.1870938635,"2012-08-22",1345618800000,1.9832109755,NA,4436.2446310909,0.4224099381,164.3174743652,63191628,39265460,"Earth",NA,"2017-04-06 08:32:39",4,NA,3.636,NA,0.408693287994996,2.09630304672097,5.17785762818246,84.6946406417603,1108.61187217763,1.23955806192265,222.802347735115,2.95304803151929,2458336.3134164,NA,NA,"J2000",0
"3032",3483800,3483800,24.7,NA,NA,30.5179232594,68.2401509401,0.0189629525,0.0424024508,100.1244233463,223.8850168104,"2011-02-15",1297756800000,16.6653427543,59995.2339155898,37278.7052071619,NA,163.0975189209,62722472,38973936,"Earth",11,"2017-04-06 08:58:44",7,0.0175087,6.402,2458000.5,0.121537449713631,0.935869757415656,1.52675369803092,NA,330.69036905924,0.822126533835243,193.286177903182,NA,2458010.85298405,348.729413958368,NA,"J2000",0
"727",NA,NA,20.6,0.2016299194,0.4508582062,201.6299194428,450.8582061718,0.1252869847,0.2801502144,661.5155049046,1479.1936371367,"1999-08-15",934700400000,12.1478933441,43732.4160386491,27173.6226213484,0.2808257434,109.2412109375,42010932,26104384,"Earth",26,"2017-04-06 08:54:46",2,0.184769,4.814,NA,0.143149862640097,1.34326820426866,20.6955665108905,310.803504162992,568.646707992797,1.15097954533879,50.6557917402165,1.53555686319853,NA,193.66428322334,NA,"J2000",0
"945",3647012,NA,22.1,0.1010543415,NA,101.054341542,225.9643771094,0.0627922373,0.140407711,331.5431259047,741.3529669956,"2000-10-15",971593200000,8.4910508773,30567.7831582405,18993.6317074078,0.2670472486,103.8813858032,NA,24823594,"Earth",16,"2017-04-06 08:44:57",5,0.198861,3.13,NA,0.559427273426689,2.66577724859654,6.93976137405172,355.551606315379,1589.76968964483,1.17446875085128,42.9168751834991,4.1570857463418,2458194.55452599,316.05676104537,0.226447895154189,"J2000",0
"3317",3667136,3667136,23.3,0.058150704,0.130028927,58.1507039646,130.0289270043,0.0361331611,0.0807962044,190.7831555951,426.6041048727,NA,1331794800000,9.3609499231,33699.4197229998,20939.5088828828,0.2475605802,96.3010635376,NA,23012194,"Earth",NA,"2017-04-06 08:41:39",2,0.191699,6.101,2458000.5,0.235091127727673,0.983877139881351,15.9622558307223,198.89829623777,356.459121003083,0.752576353521167,170.412123297191,1.21517792624153,NA,11.0992417789115,1.00993347845036,"J2000",0
"626",2392704,2392704,19,0.4212646106,0.9419763057,421.2646105562,941.9763057186,0.2617616123,0.5853167591,1382.1017848971,3090.4735428537,"1998-12-15",NA,15.9540912886,57434.7286389175,35687.7068034429,0.1903316805,74.039024353,28473214,17692436,"Earth",45,"2017-04-06 09:21:59",NA,NA,4.385,2458000.5,0.472713195653639,NA,10.0526071786867,16.8400877785998,676.3418664726,0.795106797264305,356.511619429624,2.22073502054845,2457884.16355298,61.9230052200475,0.53227519668056,"J2000",0
"4358",3715702,3715702,25.6,0.0201629919,0.0450858206,20.1629919443,45.0858206172,0.0125286985,NA,66.1515504905,147.9193637137,"2015-09-22",NA,10.5420601788,37951.4166435248,23581.5344138613,0.3903275905,151.8374328613,58392180,36283216,"Earth",11,"2017-04-06 08:34:28",8,0.0277374,4.75,2457126.5,0.312161214522843,1.35737190124009,19.2210198881128,25.325635732958,577.625967418285,0.933653039989803,234.50513593835,1.78109076249038,2457176.4097307,328.894225559546,0.623240678754505,"J2000",0
"4226",3716629,3716629,NA,0.0175612318,0.0392681082,17.561231848,39.2681081809,0.0109120402,0.0244000636,57.6155918963,128.8323800441,"2015-04-22",1.429686e+12,6.2435058564,22476.6210831128,13966.0982502264,0.0676127293,26.3013515472,10114721,NA,"Earth",4,"2017-04-06 08:34:15",8,0.0675965,3.319,2457132.5,0.549330673129354,2.37551419774485,1.73598697323225,238.304857556798,1337.31856146727,1.07057138446933,329.971990212878,3.68045701102036,2457131.90985056,0.158865511425177,0.269195396200153,"J2000",0
"1396",2163694,2163694,17.3,0.9216265485,2.0608196123,921.6265485028,2060.8196123208,0.5726720101,1.2805335433,3023.70924539,6761.2194168867,"2003-06-22",1056265200000,11.0665289515,39839.5042254126,24754.7186116182,0.4101532083,159.5496063232,61358048,38126124,"Earth",92,"2017-04-06 09:26:11",0,NA,3.148,2458000.5,NA,2.64285208158093,9.8122706955296,NA,1569.30627708767,1.20742727751556,283.074575403575,4.0782768856463,2457503.21867829,114.07669645477,0.22940072645863,"J2000",0
"4470",NA,2357022,19.1,0.4023045798,0.8995803882,402.3045798343,899.5803881691,0.2499803991,0.5589731654,1319.8969577037,2951.3793207207,"2016-01-22",1453449600000,18.2130123232,NA,40740.6872657314,0.2247187566,87.4155960083,33617448,20888912,"Earth",71,"2017-04-06 09:22:57",0,0.0430734,4.823,2458000.5,0.329562152477416,1.284789949498,34.5168865756777,293.285531568536,531.920370900645,0.861371808260088,250.231518200175,1.70820809073591,2458002.37048489,NA,0.676793030863716,"J2000",1
"2818",3046149,3046149,22.3,0.0921626549,0.2060819612,92.1626548503,206.0819612321,0.057267201,0.1280533543,302.370924539,676.1219416887,NA,1268035200000,11.8722613212,42740.1407563168,26557.0613493903,0.0347147313,13.5040311813,5193250,3226936,NA,15,"2017-04-06 09:16:52",1,0.0322554,5.373,NA,0.247849821934377,1.15450658292874,18.4601576125396,NA,453.09894111671,0.868362331927785,258.148119029539,NA,2458045.18202175,324.498862454083,0.794528451363717,"J2000",0
"1015",3445082,3445082,22,0.1058168859,NA,105.8168859331,236.6137501138,0.0657515442,0.1470249225,347.1682720448,NA,"2001-03-15",984643200000,22.618323792,81425.9656511842,50594.928490315,0.4604192792,179.1030883789,68877744,42798644,"Earth",12,"2017-04-06 09:01:30",NA,0.0100462,6.37,2458000.5,0.26570825215399,0.936635786774717,5.55363308014387,17.6198872305694,331.096467812356,0.68776392896593,292.401101856032,1.18550764458351,2458004.30513954,355.862685447344,1.08729640753529,"J2000",1
"517",3560817,3560817,22.6,0.0802703167,0.1794898848,80.2703167283,179.4898847799,0.049877647,0.1115298092,263.3540659348,588.8775935812,"1998-05-08",894610800000,8.5901263264,30924.4547749717,19215.2535794817,0.1393555719,54.2093162537,20847296,12953910,"Earth",23,"2017-04-06 08:53:57",4,0.0268535,4.425,2458000.5,0.379930048572159,1.50708731566283,12.4948929708272,22.1466824046491,675.781111513223,0.934499558620568,231.322665758013,2.0796750727051,NA,142.169547639492,0.532716872174602,"J2000",0
"33",3751815,3751815,22.8,NA,0.1636967205,73.2073989347,163.696720474,0.0454889547,0.1017163949,240.181762721,537.0627483999,"1995-03-08",794649600000,11.7404134833,42265.4885399758,26262.1309208533,0.3331832833,129.6083068848,49843512,30971322,"Earth",7,"2017-04-06 08:26:34",6,NA,6.708,2458000.5,0.513906570440738,0.865355364715251,NA,64.1262750262719,294.028997023525,0.420643557021943,292.883188064574,1.31006717240856,2457885.99367027,140.198004684855,NA,"J2000",0
"4653",2469929,2469929,21,0.1677084622,0.3750075218,167.7084621628,375.0075217981,0.1042091748,0.2330187988,550.2246310023,1230.3396778159,"2016-07-22",1469170800000,14.2805921818,51410.1318545095,31944.2566514868,0.2809899632,109.3050994873,42035504,26119650,"Earth",22,"2017-04-06 09:19:15",NA,0.112305,5.316,2458000.5,0.122438689671689,1.15699942548483,28.9475977694695,NA,454.567248661574,1.01533793187757,72.0583411450798,1.29866091909209,2457911.89938901,70.1683195431728,0.791962027752732,"J2000",0
"103",3662252,3662252,25.8,0.0183888672,0.0411187571,18.388867207,41.1187571041,0.0114263088,0.0255500032,60.3309310875,134.9040630575,"1995-08-08",807865200000,NA,70325.7416701877,43697.6809839008,0.3657815359,142.2890167236,54720140,34001520,"Earth",4,NA,6,0.0041285,4.906,2458000.5,0.314229057273107,1.27714625028094,27.7952131520651,334.352603952119,527.180546294861,0.875829788055277,239.456828089199,NA,2457812.92791796,128.088849270968,0.68287800551473,"J2000",0
"2157",3375503,3375503,20.9,0.1756123185,0.3926810818,175.6123184804,392.6810818086,0.1091204019,0.2440006365,576.1559189633,1288.3238004408,"2007-05-08",1178607600000,7.4779354303,NA,16727.3937639798,0.1886294703,73.3768615723,28218566,17534204,"Earth",21,NA,1,0.141432,3.577,2458000.5,0.475692783892806,NA,5.65534122892822,161.215394561477,1122.6827244979,1.10838739206843,NA,3.11961999756026,2457608.60836269,125.664167047618,0.32066049663408,"J2000",0
"1353",NA,3151654,19,0.4212646106,0.9419763057,421.2646105562,941.9763057186,0.2617616123,NA,1382.1017848971,3090.4735428537,"2003-04-08",NA,19.9245259418,71728.2933906139,44569.1720792956,0.4982135216,193.8050689697,74531680,46311840,"Earth",25,"2017-04-23 06:17:16",NA,NA,3.48,NA,0.397531031762428,NA,40.5511665725402,186.056430622908,1023.53349297831,1.19748597825169,72.55277280371,2.77777595683102,2457942.982894,NA,0.351722735474401,"J2000",0
"1693",2494710,2494710,20.7,0.1925550782,0.4305662442,192.5550781879,430.566244241,0.1196481415,0.2675413778,631.7424027221,1412.6189567557,"2005-01-08",1105171200000,15.6227433528,56241.8760700912,34946.5146058853,NA,170.8495483398,65703672,40826368,"Earth",47,NA,0,0.042475,6.764,2458000.5,0.410762256439496,0.863515188332426,6.3155653673774,176.630004969386,293.091617723591,0.508815741103223,250.134848224227,1.21821463556163,2458050.90878305,298.083654397211,NA,"J2000",1
"4172",3703537,3703537,23.5,0.0530340723,0.1185877909,53.0340723319,118.5877908577,0.0329538346,0.0736870142,173.9963058693,NA,"2015-02-15",1423987200000,7.216293045,25978.6549618333,16142.1259122569,0.0197346502,7.6767792702,2952261.75,1834450.375,"Earth",NA,"2017-04-06 08:36:28",5,5.25386e-05,3.833,2458000.5,0.472227341181277,1.8729205271559,4.52095285234482,337.423296690162,936.219001170165,0.988476246373236,181.817953586075,2.75736480793857,NA,354.191230396857,0.384525415047165,"J2000",0
"3619",3763944,3763944,29.4,0.0035039264,0.0078350176,3.5039264111,7.8350176433,0.0021772383,0.0048684527,11.4958219265,25.705439285,"2013-05-08",NA,8.7385553397,31458.7992227671,19547.27443928,0.3013264815,117.216003418,45077800,28010046,"Earth",11,"2017-04-06 08:22:06",6,0.0040083,6.94,2458000.5,0.17325322162665,0.846581933319233,1.90016722041576,236.370381915661,284.512872883548,0.699908886000759,2.22531905055863,0.993254980637708,NA,183.01816611039,1.26532060342784,"J2000",0
