"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"945",8.3,0.3,0.49,3.8,0.09,11,24,0.99498,3.27,0.64,12.1,7
"1269",6.9,0.41,0.31,2,0.079,21,51,0.99668,3.47,0.55,9.5,6
"922",8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
"626",6.8,0.69,0,5.6,NA,21,58,0.9997,3.46,0.72,10.2,5
"262",7,0.975,0.04,2,0.087,NA,67,0.99565,3.35,0.6,9.4,4
"390",9.6,0.38,NA,2.5,0.096,16,49,0.9982,3.19,0.7,10,7
"130",6.1,0.38,0.15,1.8,0.072,NA,19,0.9955,3.42,0.57,9.4,5
"1396",8.6,0.685,0.1,1.6,0.092,3,12,0.99745,3.31,0.65,9.55,6
"1027",NA,0.31,0.32,1.9,0.066,14,36,NA,3.41,0.56,12.6,6
"374",7.4,0.55,0.22,2.2,0.106,NA,72,0.9959,3.05,0.63,9.2,5
"1429",7.8,0.64,0,1.9,0.072,27,55,NA,3.31,NA,11,5
"770",7.9,0.72,0.01,1.9,0.076,7,32,0.99668,3.39,NA,9.6,5
"1015",8,0.58,0.16,NA,0.12,3,7,0.99454,3.22,0.58,11.2,6
"698",NA,0.65,NA,2.1,0.066,8,25,0.9972,NA,0.67,9.5,6
"650",6.7,0.42,0.27,8.6,0.068,24,148,0.9948,3.16,0.57,11.3,6
"40",7.3,0.45,0.36,5.9,0.074,NA,NA,0.9978,3.33,NA,10.5,5
"517",12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,6
"33",8.3,NA,0.12,2.3,0.083,15,113,0.9966,3.17,NA,9.8,5
"1552",7.1,0.67,0,2.3,0.083,18,27,0.99768,3.44,0.54,9.4,5
"103",8.1,NA,NA,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
"1595",6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5
"109",8,NA,0.53,2.5,0.091,18,NA,0.9976,3.37,0.8,9.6,6
"1002",NA,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,7
"1353",7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5
"76",8.8,0.41,0.64,NA,0.093,9,42,0.9986,3.54,0.66,10.5,5
"980",12.2,0.45,0.49,NA,0.075,3,6,0.9969,3.13,0.63,10.4,5
"1515",NA,NA,0.21,NA,0.074,16,65,0.99842,3.53,0.72,9.23333333333333,6
"733",7.3,0.835,0.03,2.1,0.092,10,19,0.9966,3.39,0.47,9.6,5
"16",8.9,0.62,0.19,3.9,0.17,51,148,NA,3.17,0.93,9.2,5
"1381",7.5,0.57,NA,2.6,0.077,NA,35,0.99557,3.36,0.62,10.8,6
"1272",7.3,NA,0.2,1.6,0.049,24,64,0.9935,3.38,0.57,11.7,6
"1006",NA,0.36,0.32,1.8,0.067,4,NA,0.9928,3.36,0.55,12.8,7
"1349",NA,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,5
"988",7.1,0.36,0.3,1.6,0.08,35,70,0.99693,3.44,0.5,9.4,5
"82",NA,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,5
"914",9.4,0.395,0.46,4.6,0.094,3,10,NA,3.27,0.64,12.2,7
"325",10,0.49,0.2,NA,0.071,13,50,1.0015,3.16,0.69,9.2,6
"1384",8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5
"951",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,7
"296",10.8,0.5,0.46,2.5,NA,5,27,1.0001,3.05,0.64,9.5,5
"149",NA,0.49,0.1,2.3,0.074,NA,30,0.9959,3.42,0.58,10.2,6
"996",7.7,0.6,0.06,2,0.079,19,41,0.99697,3.39,0.62,10.1,6
"100",NA,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
"999",8.9,NA,0.34,NA,NA,NA,10,0.99554,3.12,0.48,9.1,6
"298",7.1,0.63,0.06,2,0.083,8,NA,0.99855,3.67,NA,9.6,NA
"402",7.7,0.26,0.3,1.7,0.059,20,38,0.9949,3.29,0.47,10.8,6
"91",7.9,NA,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5
"781",7,0.57,0,NA,0.19,12,45,0.99676,3.31,0.6,9.4,6
"1205",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,7
"1078",8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,5
"851",9.3,NA,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5
"288",NA,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6
"720",7.1,0.66,0,3.9,0.086,17,45,0.9976,3.46,0.54,9.5,5
"60",7.3,0.39,0.31,NA,NA,9,46,0.9962,3.41,0.54,9.4,6
"1309",9.7,0.69,NA,2.5,0.088,NA,91,0.9979,3.29,NA,10.1,5
"849",6.4,0.64,0.21,1.8,0.081,14,31,0.99689,3.59,0.66,9.8,5
"969",9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,6
"377",NA,0.45,0.5,3,0.078,19,47,1.0003,3.26,1.11,11,6
"638",9.5,0.885,0.27,2.3,0.084,31,NA,0.9978,3.24,0.53,9.4,5
"427",6.4,0.67,NA,2.1,0.045,19,48,NA,3.49,0.49,11.4,6
"442",11.9,0.4,NA,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,6
"1136",8,0.25,0.43,1.7,NA,NA,NA,0.9946,3.38,0.6,11.9,6
"584",12,0.28,0.49,1.9,0.074,10,NA,0.9976,2.98,0.66,9.9,7
"1498",NA,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,6
"1514",6.4,0.56,0.15,1.8,0.078,17,65,0.99294,3.33,0.6,10.5,6
"1165",9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5
"1496",7,0.43,0.02,1.9,0.08,15,28,0.99492,3.35,0.81,10.6,6
"311",10.3,0.53,0.48,2.5,0.063,6,NA,0.9998,3.12,0.59,9.3,6
"912",9.1,0.28,0.46,9,0.114,3,9,0.99901,3.18,0.6,10.9,6
"474",9.9,0.35,0.55,2.1,0.062,5,14,0.9971,3.26,0.79,10.6,5
"811",7.3,0.49,NA,2.6,0.068,4,14,0.99562,3.3,0.47,10.5,5
"42",8.8,0.61,0.3,2.8,NA,17,46,NA,3.26,0.51,9.3,4
"760",8.8,0.42,NA,2.5,0.092,33,88,0.99823,3.19,0.52,9.2,5
"1275",7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6
"1465",6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
"25",6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
"703",7,0.64,0.02,2.1,0.067,9,23,0.997,3.47,0.67,9.4,6
"1262",6.3,1.02,0,2,0.083,17,NA,NA,3.59,0.55,11.2,4
"526",10.4,0.64,0.24,NA,0.105,29,53,0.9998,3.24,0.67,9.9,5
"623",10,0.58,0.22,1.9,0.08,9,NA,0.9974,3.13,0.55,9.5,5
"1548",6.3,0.6,0.1,1.6,0.048,12,26,0.99306,3.55,0.51,12.1,5
"943",10.1,0.43,0.4,2.6,0.092,13,52,0.99834,3.22,0.64,10,7
"1567",6.7,0.16,0.64,2.1,0.059,NA,52,NA,3.34,0.71,11.2,6
"1500",NA,0.74,0.03,2.3,0.054,NA,16,0.99508,3.45,NA,11.5,6
"369",10.3,NA,0.52,2.8,0.159,15,75,NA,3.18,0.64,9.4,5
"512",10,0.59,0.31,2.2,0.09,26,62,0.9994,3.18,0.63,10.2,6
"758",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
"1393",7.1,0.62,0.06,1.3,0.07,5,12,0.9942,3.17,0.48,9.8,5
"754",8.3,0.65,0.1,2.9,0.089,17,40,0.99803,3.29,0.55,9.5,NA
"799",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
"862",5.8,1.01,0.66,2,0.039,NA,88,0.99357,NA,0.6,11.5,6
"1248",7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5
"774",7.9,0.4,0.29,1.8,0.157,1,44,NA,3.3,NA,9.5,6
"1238",7.1,0.75,0.01,2.2,0.059,NA,18,0.99242,3.39,0.4,12.8,6
"294",6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6
"607",9.4,0.41,0.48,4.6,0.072,10,20,NA,3.34,0.79,12.2,7
"764",9.3,0.655,0.26,2,0.096,5,35,0.99738,3.25,0.42,9.6,5
"783",NA,0.82,0.05,2.4,NA,26,96,0.99814,3.36,0.53,10,5
"546",9.1,0.47,0.49,NA,0.094,38,NA,0.9982,3.08,0.59,9.1,5
"426",NA,0.84,0.03,2.3,0.059,32,NA,0.9952,3.52,0.56,12.3,7
"471",13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,5
"188",7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5
"254",7.7,0.775,0.42,1.9,0.092,8,NA,0.9959,3.23,0.59,9.5,5
"268",7.9,0.35,NA,NA,0.078,15,37,0.9973,3.35,0.86,12.8,8
"640",8.9,0.29,0.35,1.9,0.067,25,57,0.997,3.18,1.36,10.3,6
"1434",NA,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,7
"41",7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5
"1217",7.9,0.57,0.31,2,0.079,10,79,0.99677,3.29,0.69,9.5,6
"824",6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5
"664",10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,6
"1122",6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6
"537",9.9,NA,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5
"348",13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6
"107",7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5
"317",9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5
"1038",7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,5
"162",NA,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,4
"636",8.7,0.84,0,1.4,0.065,24,33,NA,3.27,0.55,9.7,5
"706",8.4,1.035,NA,6,0.073,11,54,0.999,3.37,0.49,9.9,5
"906",9.2,0.58,NA,3,0.081,15,115,NA,3.23,0.59,9.5,5
"796",10.8,0.89,0.3,2.6,NA,7,60,0.99786,2.99,1.18,10.2,5
"630",7.6,0.685,0.23,2.3,0.111,20,84,0.9964,3.21,0.61,9.3,5
"1061",11.6,0.23,0.57,NA,0.074,3,8,0.9981,3.14,0.7,9.9,6
"1162",8.8,0.45,0.43,NA,0.076,12,21,0.99551,3.21,0.75,10.2,6
"1478",5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,7
"1009",8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,7
"773",9.5,0.57,0.27,2.3,0.082,23,144,0.99782,3.27,0.55,9.4,5
"78",6.8,0.785,0,NA,0.104,14,30,0.9966,NA,0.55,10.7,6
"1474",6.1,0.6,0.08,1.8,0.071,14,NA,0.99336,3.38,0.54,11,5
"1121",7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8
"483",10.6,0.36,0.59,2.2,0.152,6,18,NA,3.04,1.05,9.4,5
"182",8.9,0.61,NA,2,0.27,23,110,0.9972,3.12,1.02,9.3,5
"1151",8.2,NA,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,7
"992",7.1,0.34,0.28,2,0.082,NA,68,0.99694,3.45,0.48,9.4,5
"337",8.9,0.43,0.45,NA,0.052,6,16,0.9948,3.35,0.7,12.5,6
"539",12.9,0.35,0.49,5.8,0.066,5,35,1.0014,3.2,0.66,12,7
"1204",9.9,0.74,NA,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5
"868",6.9,0.51,0.23,NA,0.072,13,22,0.99438,3.4,0.84,11.2,6
"212",8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6
"201",9.6,0.32,0.47,1.4,0.056,9,24,0.99695,3.22,0.82,10.3,7
"62",7.7,0.69,0.49,1.8,NA,20,112,0.9968,3.21,0.71,9.3,5
"1293",5.9,NA,0.13,2.4,0.056,14,28,0.99362,3.62,0.67,12.4,6
"1406",NA,0.28,0.3,2,0.062,18,34,NA,3.28,NA,11.3,7
"1148",10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7
"1087",8.5,0.34,0.4,4.7,0.055,NA,9,0.99738,3.38,0.66,11.6,7
"1599",6,0.31,NA,3.6,0.067,18,42,0.99549,3.39,0.66,11,6
"573",10.2,0.24,0.49,2.4,0.075,10,28,0.9978,3.14,0.61,10.4,5
"540",NA,0.5,0.74,5.15,0.1,5,17,0.9996,3.22,0.62,11.2,5
"2",7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5
"671",6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5
"1420",7.7,0.64,0.21,2.2,0.077,32,133,NA,3.27,0.45,9.9,5
"1232",7.8,0.815,0.01,2.6,0.074,48,90,NA,3.38,0.62,10.8,5
"771",7.1,0.59,0.02,2.3,0.082,24,94,0.99744,3.55,0.53,9.7,6
"741",8.3,NA,0.29,NA,0.075,12,16,0.9965,3.45,0.68,11.5,6
"269",6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
"1036",10.1,0.37,NA,2.4,0.085,5,NA,NA,3.17,NA,10.6,7
"705",9.1,0.765,0.04,1.6,0.078,4,14,0.998,3.29,0.54,9.7,4
"670",11.3,0.34,0.45,2,0.082,6,15,0.9988,NA,0.66,9.2,6
"444",NA,0.44,0.49,2.7,0.077,11,19,0.9963,3.23,0.63,11.6,7
"677",10.8,0.4,0.41,2.2,NA,7,17,0.9984,3.08,0.67,9.3,6
"1222",10.9,NA,0.52,1.8,NA,17,44,0.99734,3.28,0.77,11.5,6
"1484",8.1,0.33,0.44,1.5,0.042,6,12,NA,3.35,0.61,10.7,5
"1034",7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,6
"967",9,0.38,0.41,2.4,NA,NA,10,0.99604,3.13,0.58,11.9,7
"1279",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6
"1225",12.6,0.39,0.49,NA,0.08,NA,20,0.9992,3.07,0.82,10.3,6
"850",6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5
"181",8.8,0.61,0.14,2.4,0.067,NA,42,0.9969,3.19,0.59,9.5,NA
"751",8.3,0.65,0.1,2.9,0.089,17,NA,0.99803,3.29,0.55,9.5,5
"1308",6.8,0.68,0.09,3.9,0.068,15,29,0.99524,3.41,0.52,11.1,4
"463",11,0.26,0.68,2.55,0.085,10,25,0.997,NA,0.61,11.8,5
"605",8.3,0.58,0.13,2.9,NA,14,63,0.9984,3.17,0.62,9.1,6
"1337",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
"84",7.3,0.67,0.26,1.8,0.401,16,51,0.9969,3.16,1.14,9.4,5
"985",12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5
"464",8.1,0.66,0.7,NA,0.098,25,NA,0.9972,3.08,0.53,9,5
"1554",NA,0.735,0,2.2,0.08,18,28,0.99765,3.41,0.6,9.4,5
"225",8.4,0.635,0.36,2,0.089,15,55,0.99745,3.31,NA,10.4,4
"1126",8.8,0.24,0.35,1.7,0.055,13,NA,0.99394,3.14,0.59,11.3,7
"171",7.9,0.885,0.03,1.8,0.058,4,8,0.9972,3.36,0.33,9.1,4
"489",11.6,0.32,0.55,2.8,0.081,35,67,1.0002,3.32,0.92,10.8,7
"1550",7.4,0.36,0.3,1.8,0.074,17,24,NA,3.24,0.7,11.4,8
"694",9,NA,0.32,2.8,0.084,21,122,0.9984,3.32,0.62,9.4,5
"1023",7,0.51,0.09,2.1,0.062,4,9,0.99584,3.35,0.54,10.5,5
"1231",7.7,0.18,NA,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6
"1109",8.1,0.78,0.1,3.3,0.09,4,13,NA,3.36,0.49,9.5,5
"153",7.5,0.6,0.03,1.8,0.095,25,99,0.995,3.35,0.54,10.1,5
"961",8.5,0.47,0.27,1.9,0.058,NA,NA,0.99518,3.16,0.85,11.1,6
"240",8.2,1,NA,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
"1592",5.4,0.74,0.09,1.7,0.089,16,26,NA,3.67,0.56,11.6,6
"1163",8.5,0.32,0.42,2.3,0.075,12,19,0.99434,3.14,0.71,11.8,NA
"156",7.1,0.43,0.42,5.5,0.071,28,128,NA,3.42,0.71,10.5,5
"274",8.4,0.715,0.2,2.4,0.076,10,38,0.99735,3.31,0.64,9.4,5
"1250",7.1,0.6,0.01,2.3,0.079,24,37,NA,3.4,0.61,10.9,6
"762",9.3,0.655,0.26,2,0.096,5,NA,NA,3.25,0.42,9.6,5
"170",7.5,NA,0.24,1.8,0.36,NA,63,0.9964,3,1.59,9.5,5
"292",11,0.2,NA,NA,0.343,6,18,0.9979,3.3,0.71,10.5,5
"148",7.6,0.49,0.26,1.6,0.236,10,88,0.9968,3.11,0.8,9.3,5
"719",8.4,NA,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5
"189",7.9,NA,0.33,2,0.084,15,143,0.9968,3.2,0.55,9.5,5
"1137",NA,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6
"1051",7.1,0.43,0.17,1.8,NA,NA,51,NA,3.49,0.64,10.4,5
"606",8.3,0.6,0.13,NA,0.085,6,NA,0.9984,3.31,0.59,9.2,6
"645",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
"1110",10.8,0.47,0.43,2.1,0.171,27,66,0.9982,3.17,0.76,10.8,6
"250",7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
"169",6.8,0.63,0.07,2.1,0.089,11,44,0.9953,3.47,0.55,10.4,6
"907",7.2,0.54,0.27,2.6,NA,12,78,0.9964,3.39,0.71,11,5
"732",8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5
"550",9,0.53,0.49,1.9,0.171,6,NA,NA,3.27,0.61,9.4,6
"457",8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5
"919",8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
"115",7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
"1344",7.5,NA,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
"1237",7.8,0.55,NA,1.7,0.07,7,17,0.99659,3.26,0.64,9.4,6
"1564",7.2,0.695,0.13,NA,0.076,12,20,0.99546,3.29,NA,10.1,5
"1459",8.4,0.29,0.4,1.7,0.067,8,20,0.99603,3.39,0.6,10.5,5
"1378",5.2,NA,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6
"438",11.1,0.45,0.73,3.2,0.066,6,22,0.9986,3.17,NA,11.2,6
"625",6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,5
"542",9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11,6
"699",9.4,NA,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,5
"917",5.3,0.715,0.19,1.5,0.161,7,62,0.99395,3.62,0.61,11,5
"966",8.3,0.34,0.4,2.4,0.065,24,48,0.99554,3.34,0.86,11,6
"1129",10,NA,0.33,2.7,0.095,28,NA,NA,3.22,0.68,10,5
"1226",9.2,0.46,0.23,2.6,0.091,18,77,0.99922,NA,0.51,9.4,5
"88",7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
"391",5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8
"398",11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,6
"1449",6.9,0.58,0.01,1.9,0.08,40,54,NA,3.4,0.73,9.7,5
"819",7.1,0.715,0,2.35,0.071,21,47,0.99632,3.29,0.45,9.4,5
"1145",7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5
"37",7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6
"1447",6.9,0.63,0.02,NA,0.078,18,30,0.99712,3.4,0.75,9.8,5
"163",7.8,0.53,0.04,1.7,0.076,17,NA,0.9964,3.33,0.56,10,6
"46",4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4
"1311",7.5,0.61,0.26,1.9,0.073,24,NA,0.99612,NA,0.53,9.8,5
"859",NA,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,NA,10.6,7
"1415",10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,5
"376",11.5,0.54,0.71,4.4,0.124,6,15,0.9984,3.01,0.83,11.8,7
"821",7,0.685,0,1.9,0.099,9,22,0.99606,3.34,0.6,9.7,5
"280",8.9,NA,0.32,5.6,NA,10,47,0.9991,3.38,0.77,10.5,7
"934",7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
"756",NA,0.91,0.07,1.9,0.058,22,47,0.99525,3.51,0.43,10.7,6
"981",NA,0.5,NA,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
"715",NA,0.74,0.28,2.6,0.078,21,77,0.998,NA,0.51,9.8,5
"1249",6.9,0.41,0.33,2.2,0.081,22,36,0.9949,3.41,0.75,11.1,6
"206",12.8,0.3,NA,2.6,0.095,9,28,NA,3.2,0.77,10.8,7
"1523",6.1,NA,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
"918",6.8,0.41,0.31,8.8,0.084,26,NA,0.99824,3.38,0.64,10.1,6
"684",8.1,0.78,0.23,2.6,0.059,5,NA,0.997,3.37,0.56,11.3,5
"765",9.1,0.68,0.11,2.8,0.093,11,44,0.99888,3.31,0.55,9.5,6
"647",NA,0.67,0.05,3.6,0.107,NA,20,0.9972,3.4,0.63,10.1,5
"159",7.1,0.68,0,2.2,0.073,12,22,0.9969,3.48,0.5,9.3,5
"928",8.4,0.67,0.19,2.2,0.093,NA,NA,0.99736,3.2,NA,9.2,4
"978",NA,0.59,0.29,2.6,NA,31,119,NA,3.15,0.5,9.1,5
"935",6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,5
"653",15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5
"1503",7.3,0.585,0.18,NA,0.078,15,60,0.99638,3.31,0.54,9.8,5
"514",10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,7
